block,species,chr,chr_beg,chr_end,orientation
982,CP009748.1,1,13218,14592,+
982,CP009748.1,1,34958,36333,+
981,CP003695.1,1,1050781,1053026,+
981,CP003695.1,1,4029182,4031427,-
980,CP003695.1,1,448715,450318,+
980,CP009748.1,1,3158529,3160113,+
979,CP004405.1,1,93036,95298,+
979,CP004405.1,1,98196,100458,+
979,CP004405.1,1,162947,165209,+
979,CP004405.1,1,168106,170368,+
979,CP004405.1,1,173265,175527,+
979,CP004405.1,1,2948930,2951191,-
978,CP002183.1,1,93956,95351,+
978,CP002183.1,1,909477,910872,+
977,CP009611.1,1,3804287,3807599,+
977,CP009748.1,1,3705602,3708907,+
976,CP009611.1,1,3128500,3129642,+
976,CP009748.1,1,430410,431552,-
975,CP009611.1,1,2985089,2988117,+
975,CP009748.1,1,1133195,1135613,-
974,CP009611.1,1,1225108,1244807,+
974,CP009748.1,1,1239198,1258692,+
973,CP009611.1,1,665507,666639,+
973,AP012496.1,1,653800,654932,+
973,CP009748.1,1,592730,593852,+
972,CP009611.1,1,639919,644537,+
972,CP009748.1,1,566712,571778,+
971,CP009611.1,1,563817,565216,+
971,CP009748.1,1,500842,502204,+
970,CP009611.1,1,551920,554117,+
970,CP009748.1,1,476143,478338,+
969,CP009611.1,1,530810,531868,+
969,CP009748.1,1,480811,481889,+
968,AP011541.2,1,3279131,3280533,+
968,CP002183.1,1,1991382,1992786,+
967,AP011541.2,1,2230690,2232719,+
967,CP009748.1,1,2911183,2913214,-
966,AP011541.2,1,1875143,1876544,+
966,AP011541.2,1,4018380,4019780,+
966,AP011541.2,1,4021732,4023133,-
965,AP011541.2,1,1864888,1867366,+
965,AP011541.2,1,2470350,2472831,-
965,AP011541.2,1,4008533,4011013,+
964,AP011541.2,1,1851682,1854347,+
964,AP011541.2,1,3247608,3250375,-
964,AP011541.2,1,3377926,3380693,-
963,AP011541.2,1,1267546,1268609,+
963,CP009611.1,1,2947354,2948409,-
962,AP011541.2,1,778567,779769,+
962,AP011541.2,1,1272016,1273218,+
962,AP011541.2,1,1286422,1287624,+
962,AP011541.2,1,1476639,1477840,-
962,AP011541.2,1,1798846,1800048,-
962,AP011541.2,1,1867368,1868576,+
962,AP011541.2,1,1883264,1884466,+
962,AP011541.2,1,1990848,1992050,+
962,AP011541.2,1,2229155,2230356,-
961,AP011541.2,1,539388,540794,+
961,AP011541.2,1,1547996,1549402,+
961,AP011541.2,1,3527956,3529362,+
961,AP011541.2,1,3966664,3968069,-
961,AP011541.2,1,3978885,3980291,+
960,CP002905.1,1,4181157,4182426,+
960,CP002183.1,1,2533057,2534325,+
959,CP002905.1,1,4027985,4029022,+
959,AP011541.2,1,3917395,3918400,+
958,CP002905.1,1,4012220,4013387,+
958,CP002183.1,1,3831568,3832722,+
957,CP002905.1,1,4000394,4005687,+
957,CP002183.1,1,3819736,3825034,+
956,CP002905.1,1,3696816,3698143,+
956,CP002183.1,1,3519833,3521159,+
956,CP009748.1,1,3493423,3494716,+
955,CP002905.1,1,3691202,3694677,+
955,CP002183.1,1,3513284,3516759,+
954,CP002905.1,1,3609490,3613621,+
954,AP011541.2,1,3512567,3516698,+
953,CP002905.1,1,3606529,3607697,+
953,AP011541.2,1,3509743,3510908,+
952,CP002905.1,1,3409160,3421381,+
952,CP002183.1,1,3251383,3263607,+
951,CP002905.1,1,3395894,3397639,+
951,CP002183.1,1,3239039,3240789,+
950,CP002905.1,1,2690542,2693011,+
950,CP002183.1,1,2536578,2538998,+
949,CP002905.1,1,2677420,2679126,+
949,CP002183.1,1,2516988,2518694,+
948,CP002905.1,1,2193716,2195532,+
948,CP002183.1,1,2080481,2082293,+
947,CP002905.1,1,2163697,2164752,+
947,CP002183.1,1,2062673,2063737,+
946,CP002905.1,1,2158620,2160404,+
946,CP002183.1,1,2046987,2048563,+
945,CP002905.1,1,2141413,2144028,+
945,CP002183.1,1,2030558,2033033,+
944,CP002905.1,1,2122683,2125275,+
944,AP011541.2,1,1985700,1988249,+
944,CP002183.1,1,2012474,2015063,+
944,CP003695.1,1,2045833,2048383,-
943,CP002905.1,1,2096404,2098145,+
943,CP002183.1,1,1948026,1949771,+
942,CP002905.1,1,2073207,2079911,+
942,CP002183.1,1,1924842,1931533,+
941,CP002905.1,1,2069518,2071559,+
941,CP002183.1,1,1921140,1923181,+
940,CP002905.1,1,2066849,2067925,+
940,CP002183.1,1,1918474,1919562,+
939,CP002905.1,1,2061681,2066293,+
939,CP002183.1,1,1913306,1917918,+
938,CP002905.1,1,2045805,2046857,+
938,CP002183.1,1,1895081,1896135,+
937,CP002905.1,1,2008842,2010208,+
937,CP002183.1,1,1861984,1863351,+
936,CP002905.1,1,1984159,1985335,+
936,CP002183.1,1,1837656,1838974,+
935,CP002905.1,1,718874,720902,+
935,CP002183.1,1,568539,570081,+
934,CP002905.1,1,711856,712930,+
934,CP002183.1,1,559394,560525,+
933,CP002905.1,1,709148,710447,+
933,CP002183.1,1,556723,557992,+
932,CP002905.1,1,672896,674332,+
932,CP002183.1,1,529854,531262,+
931,CP002905.1,1,653031,655815,+
931,CP009611.1,1,543014,545704,+
930,CP002905.1,1,339648,341752,+
930,CP002183.1,1,222460,224552,+
929,CP002905.1,1,212976,220844,+
929,CP002905.1,1,273453,281321,+
928,CP002905.1,1,201300,203057,+
928,CP002905.1,1,261777,263534,+
927,CP002905.1,1,166018,189260,+
927,CP002905.1,1,226495,249737,+
926,CP002905.1,1,12030,14626,+
926,CP002183.1,1,11975,14571,+
926,CP002183.1,1,32587,35183,+
926,CP002183.1,1,2960429,2963025,-
925,CP009749.1,1,3935473,3943133,+
925,CP009611.1,1,3958074,3965769,+
925,CP009748.1,1,3851846,3859554,+
924,CP009749.1,1,3932679,3934015,+
924,CP009611.1,1,532919,534256,-
924,CP009748.1,1,483054,484393,-
923,CP009749.1,1,3921125,3925106,+
923,CP009611.1,1,3950890,3954852,+
922,CP009749.1,1,3917470,3920187,+
922,CP009611.1,1,3947219,3949918,+
922,CP009748.1,1,3841877,3844605,+
921,CP009749.1,1,3912972,3917181,+
921,CP009611.1,1,3935165,3939370,+
921,CP009748.1,1,3837342,3841543,+
920,CP009749.1,1,3910074,3911246,+
920,CP009611.1,1,3932262,3933439,+
920,CP009748.1,1,3834455,3835619,+
919,CP009749.1,1,3883804,3891664,+
919,CP009611.1,1,3904673,3912515,+
919,CP009748.1,1,3807318,3816657,+
918,CP009749.1,1,3879482,3880956,+
918,CP009611.1,1,3900352,3901826,+
918,CP009748.1,1,3805054,3806448,+
917,CP009749.1,1,3875540,3877046,+
917,CP009611.1,1,3896410,3897916,+
917,CP009748.1,1,3803439,3804945,+
916,CP009749.1,1,3865021,3871634,+
916,CP009611.1,1,3886952,3893620,+
916,CP009748.1,1,3792826,3799538,+
915,CP009749.1,1,3850589,3857022,+
915,CP009611.1,1,3874162,3880577,+
915,CP009748.1,1,3780192,3786634,+
914,CP009749.1,1,3845320,3846553,+
914,CP002905.1,1,4108775,4110073,+
914,CP009611.1,1,3868893,3870126,+
913,CP009749.1,1,3824388,3843290,+
913,CP009611.1,1,3847969,3866863,+
913,CP009748.1,1,3752009,3770545,+
912,CP009749.1,1,3791773,3808905,+
912,CP009611.1,1,3815355,3832486,+
912,CP009748.1,1,3719429,3736527,+
